syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4
10,286.5636,307.2749,-0.2508,-0.9833,0.6027,-0.5237,0.6497,-0.7259
10,295.4811,304.2529,-0.2761,-0.7866,0.6549,-0.1408,0.8234,-0.9088
10,304.2321,302.0226,-0.2768,-0.8295,0.4059,0.0031,1.0171,-1.1217
10,312.0229,299.1775,-0.2643,-0.944,0.1695,-0.2202,0.8647,-1.4261
10,321.959,295.5667,-0.2957,-1.0808,-0.2708,-0.4551,0.914,-1.2022
10,333.1537,291.936,-0.244,-1.0981,-0.2488,-0.4363,0.8163,-1.0025
10,343.5258,289.3943,-0.258,-1.1683,-0.1333,-0.5143,0.6248,-0.8018
10,353.3755,287.5367,-0.2127,-1.2202,-0.0455,-0.4179,0.4978,-0.7347
10,364.7715,285.193,-0.2764,-1.2137,0.3697,-0.4588,0.5185,-0.5703
10,373.2373,283.5216,-0.2021,-1.1424,0.2826,-0.6173,0.7757,-0.8463
10,381.8967,281.9348,-0.2395,-1.1405,0.1837,-0.5358,0.7194,-1.0759
10,389.2168,280.7092,-0.2055,-1.2242,-0.095,-0.5926,0.8306,-0.7284
10,398.4575,278.8606,-0.1662,-1.1409,-0.0325,-0.4915,0.827,-0.8957
10,406.5137,277.8695,-0.1162,-1.1733,-0.2152,-0.3657,1.0511,-0.9377
10,415.1827,275.8976,-0.1633,-1.1656,-0.0476,-0.3592,1.0523,-0.9589
3,426.3051,275.1295,-0.1569,-1.2497,0.0079,-0.3272,0.9974,-0.9529
3,436.1141,274.3845,-0.1581,-1.0859,0.135,-0.3048,0.8457,-0.9546
3,446.6527,274.1908,-0.2033,-1.1444,0.2033,-0.6124,1.0275,-0.3431
3,456.0088,273.9567,-0.1703,-1.1296,0.1964,-0.366,0.7054,-0.5145
3,464.3133,273.1662,-0.1243,-1.1057,0.3195,-0.5302,1.1417,-0.5836
3,471.8601,273.0323,-0.1135,-1.0442,0.3868,-0.3832,0.8235,-0.1219
3,479.4787,273.6165,-0.046,-0.9056,0.7092,-0.0073,0.968,-0.2801
3,486.9243,275.1605,-0.0407,-0.7754,0.8855,0.1695,1.2973,-0.1542
3,492.0326,277.2322,0.0146,-0.6016,1.04,0.1161,1.2265,0.2601
3,497.4283,280.0422,0.0397,-0.555,1.0225,-0.0311,1.4132,0.0065
3,502.1619,282.6172,0.1436,-0.4275,1.1044,0.2365,0.9915,-0.3426
3,505.8411,284.6739,0.1259,-0.4553,1.1293,-0.1017,1.1675,-0.3567
3,509.8706,287.0435,0.1398,-0.6525,1.0188,-0.0743,0.9124,-0.6242
3,513.7666,289.17,0.1644,-0.8102,0.9395,-0.403,1.0609,-0.7714
3,519.3371,293.331,0.239,-0.9826,0.6958,-0.2688,0.8806,-0.7257
3,524.4609,294.8258,0.3992,-0.8028,0.7498,-0.1126,0.8405,-0.4045
3,528.6053,297.5377,0.4136,-0.8651,0.6244,-0.1205,0.8362,-0.8922
3,533.7635,301.7303,0.4695,-0.7378,0.714,0.0568,0.8852,-0.7574
3,537.77,307.0035,0.5471,-0.7173,1.1595,0.2278,0.9651,-0.8238
3,542.3371,312.9078,0.6374,-0.6834,1.4938,0.2276,0.7879,-0.4694
3,544.5577,318.9636,0.6633,-0.5703,1.5707,0.3118,0.6762,-0.5887
3,546.6099,324.0235,0.7844,-0.6248,1.5193,0.449,0.3115,-0.1594
3,549.6451,329.047,0.8137,-0.6466,1.454,0.1578,0.2339,-0.3597
3,551.9267,334.9881,0.8023,-0.6913,1.3186,0.1981,0.2967,-0.5564
3,555.4371,340.5718,0.8814,-0.8549,1.1223,-0.1529,0.6646,-0.4997
3,558.3016,345.0341,0.9544,-0.8321,1.1083,0.1499,0.3338,-0.5031
3,560.1041,347.916,0.9462,-0.983,0.8961,0.0563,0.2847,-0.6189
3,563.9836,353.4608,0.9213,-1.028,0.5343,0.3828,-0.0287,-0.8329
3,567.2099,359.3034,1.0057,-0.9535,0.3711,0.8649,0.0411,-0.9135
3,570.4349,366.2551,1.0134,-0.9064,0.2408,0.6805,0.0998,-0.7006
3,573.4655,370.7935,0.9941,-1.0176,0.3018,0.7438,0.056,-0.5872
3,575.5341,377.4917,0.9723,-0.75,0.5491,0.7456,0.1379,-0.545
3,578.0603,381.6913,0.983,-0.6334,0.7104,0.6296,0.0938,-0.3811
3,579.428,384.9645,0.9153,-0.4807,0.7245,0.0028,0.175,-0.3135
3,581.228,387.2754,0.8733,-0.5004,0.5862,-0.4243,0.1238,-0.0956
3,581.9864,389.1669,0.8286,-0.4455,0.3799,-0.5666,0.2935,-0.1798
3,581.1709,388.551,0.7769,-0.2991,0.3241,-0.6734,-0.1018,-0.0195
3,581.7544,388.4006,0.7485,-0.4411,0.276,-0.3894,-0.0004,0.1796
3,581.0677,387.7179,0.723,-0.0589,0.477,-0.5456,-0.1921,0.0773
3,581.3197,387.1034,0.6802,-0.122,0.5768,-0.2998,-0.4499,0.1732
3,582.1035,386.4174,0.7271,-0.0786,0.7981,-0.4778,-0.603,0.2428
3,582.5743,388.3584,0.7248,-0.2678,0.7526,-0.2011,-0.579,0.2277
3,585.75,390.2522,0.7474,-0.2572,0.5486,-0.2741,-0.649,-0.0731
3,588.9189,392.4679,0.782,-0.3668,0.514,-0.0274,-0.7786,-0.2069
3,591.2952,395.6006,0.8433,-0.305,0.5239,-0.3343,-1.0034,-0.5299
3,596.4252,398.2009,0.7831,-0.2853,0.4664,-0.0715,-1.292,-0.6261
3,600.4154,401.7712,0.8842,-0.4242,0.4131,-0.1662,-1.5238,-0.4237
3,603.4134,405.1443,0.8668,-0.5032,0.4322,-0.4337,-1.4093,-0.2799
3,607.2177,409.3976,0.8074,-0.6089,0.4771,-0.4135,-1.2073,-0.2343
3,610.2896,413.4152,0.764,-0.6659,0.7073,-0.729,-0.9185,-0.3722
3,612.9101,418.3654,0.7341,-0.821,0.6318,-0.647,-0.9592,-0.5477
3,618.7887,423.1008,0.7071,-0.9709,0.319,-0.3312,-0.9822,-0.5594
3,623.3422,426.5993,0.6748,-1.0571,-0.0713,-0.0541,-1.3992,-0.5594
3,627.8149,428.9952,0.6566,-1.2985,-0.2798,-0.5239,-1.1102,-0.6194
3,633.2798,432.258,0.6719,-1.4325,-0.0692,-0.5504,-1.2985,-0.5293
3,637.5748,434.8358,0.6742,-1.4974,0.0294,-1.0677,-1.2421,-0.0671
3,643.2915,437.5516,0.6241,-1.4564,0.3154,-0.8026,-0.9844,-0.2388
3,648.6301,441.0105,0.596,-1.3416,0.5974,-0.7434,-0.9213,-0.2426
3,652.353,443.4999,0.5337,-1.2815,0.846,-0.6873,-0.6607,-0.2597
3,654.9439,446.2294,0.5343,-1.1991,0.8319,-0.6399,-0.4345,-0.1434
3,657.7808,449.8733,0.5021,-1.1774,0.6622,-0.2608,-0.6031,-0.3493
3,659.8615,452.5106,0.4699,-1.0212,0.5718,-0.1864,-0.623,-0.398
3,661.1507,453.4579,0.4791,-0.9972,0.5467,-0.1575,-0.5666,-0.4588
3,661.4233,452.9976,0.4326,-0.9271,0.4765,-0.3651,-0.3605,-0.6071
3,661.6337,451.35,0.4562,-0.8005,0.2919,-0.2194,-0.0069,-0.678
3,662.2476,449.7667,0.4033,-0.622,0.0428,-0.1776,-0.1452,-0.6836
3,662.7422,447.6884,0.3383,-0.5087,-0.2334,-0.4309,0.1975,-1.005
3,663.5432,447.8972,0.3323,-0.2019,-0.2139,0.1421,0.274,-0.8489
3,666.5077,448.4647,0.2365,-0.1377,-0.1482,0.1646,0.6036,-0.9089
3,667.6702,449.5988,0.203,-0.0662,-0.0249,0.2516,0.5804,-0.8775
3,671.0784,451.6706,0.1314,0.0019,-0.1733,0.0625,0.6687,-0.7957
3,673.0119,451.7605,0.1192,0.1039,-0.3818,0.4898,0.3455,-0.4891
3,676.9015,452.5981,0.1495,0.1991,-0.653,0.5335,0.4821,-0.8014
3,679.4307,452.5535,0.1473,0.1816,-0.5549,0.7094,0.4573,-0.4681
3,682.6785,452.7975,0.1524,0.264,-0.5606,0.7509,0.5529,-0.7474
3,686.103,451.6291,0.1447,0.3433,-0.5643,1.3429,-0.3129,-0.4397
3,690.9954,450.351,0.0444,0.1841,-0.7556,1.2739,-0.1698,-0.8498
3,693.2057,449.4536,0.0618,0.094,-0.5515,1.1231,-0.83,-0.5918
11,694.5915,448.5174,0.074,-0.123,-0.5245,0.8294,-0.4707,-0.5495
11,694.2127,447.553,0.107,-0.0706,-0.3809,0.7098,-0.578,-0.7544
11,693.815,447.8809,0.0941,0.0704,-0.2918,0.361,-0.5059,-0.7207
11,695.3147,448.2386,0.0389,0.2345,-0.1666,0.4362,-0.4637,-1.0482
11,696.6326,447.3578,0.0622,0.3809,-0.1976,0.3092,-0.7011,-0.7547
11,698.863,447.6571,0.0873,0.4147,-0.4087,0.1072,-0.5186,-1.0651
11,700.5215,447.3905,0.088,0.5267,-0.4374,0.1237,-0.7337,-0.9801
11,701.8954,449.228,0.0928,0.7156,-0.3225,0.0526,-0.4984,-1.2262
11,702.82,449.0273,0.0674,0.8274,-0.1983,0.134,-0.404,-1.24
11,703.2484,448.376,0.0409,0.8034,-0.1011,0.1109,-0.3126,-1.1177
11,703.4665,448.8573,0.0826,0.7522,-0.0406,0.004,-0.3385,-1.1506
11,704.2836,449.2772,0.1572,0.8117,0.0881,-0.1898,-0.4071,-0.8309
11,704.5302,450.7035,0.1433,0.8899,0.2097,-0.3426,-0.3046,-0.675
11,705.0588,451.6482,0.207,0.8161,0.3309,-0.1784,-0.4238,-0.337
11,706.0494,453.3507,0.1948,0.7979,0.3545,-0.2636,-0.59,-0.5519
11,704.0906,453.731,0.2228,0.7864,0.4096,-0.4809,-0.7826,-0.9244
11,703.075,455.221,0.239,0.8041,0.5824,-0.6147,-0.5109,-0.842
11,703.2343,456.8213,0.365,0.6921,0.7844,-0.7529,-0.5775,-0.7501
11,702.8433,457.1373,0.2708,0.677,1.1219,-0.7911,-0.2357,-0.9009
